Title, Price ,Village,Kaza,Summary,Area,Furnished?,Floor Number,Details,Website
Ballouneh 220m2 | High-end | Brand New | Panoramic view |,"$150,000 ",Ballouneh, Keserouan,Bedroom(s): 3 | Bathroom(s): 4,220 SQM,Unfurnished,No Data,"This property contains: Balcony, Central A/C & heating, Covered Parking, Maids Room",https://olx.com.lb/ad/ballouneh-220m2-high-end-brand-new-panoramic-view-ID109590639.html
2 Apartments one title Deed. New project furnished Mar Mkhayel Electri,"$450,450 ",Mar Mkhayel, Beirut,Bedroom(s): 3 | Bathroom(s): 3,143 SQM,No Data,6,No Data,https://olx.com.lb/ad/2-apartments-one-title-deed-new-project-furnished-mar-mkhayel-electri-ID114896124.html
220 sqm Apartment in Broumana for sale!! REF#ED80084,"$365,000 ",Broummana, Metn,Bedroom(s): 2 | Bathroom(s): 4,220 SQM,No Data,No Data,"This property contains: Central A/C & heating, Covered Parking, Storage room",https://olx.com.lb/ad/220-sqm-apartment-in-broumana-for-sale-refed80084-ID114747182.html
A spacious decorated 140 sqm apartment located in Bshamun! REF#HD80076,"$100,000 ",Bchamoun, Aley,Bedroom(s): 2 | Bathroom(s): 2,140 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/a-spacious-decorated-140-sqm-apartment-located-in-bshamun-refhd80076-ID114747034.html
Own your 240sqm Duplex in Achrafieh! REF#JS60603,"$500,000 ",Achrafieh, Beirut,Bedroom(s): 3 | Bathroom(s): 5,240 SQM,Unfurnished,No Data,This property contains: Central A/C & heating,https://olx.com.lb/ad/own-your-240sqm-duplex-in-achrafieh-refjs60603-ID114627835.html
Villa for sale- with private garden,"$460,000 ",Damour, Chouf,Bedroom(s): 3 | Bathroom(s): 4,200 SQM,No Data,2,"This property contains: Balcony, Central A/C & heating, Covered Parking, Maids Room, Pets Allowed, Private Garden, Private Pool, Security, Walk-in Closet",https://olx.com.lb/ad/villa-for-sale-with-private-garden-ID114282637.html
L08696-Apartment surrounded with Terrace for Sale in Sahel Alma - Cash,"$576,000 ",Sahel Alma, Keserouan,Bedroom(s): 3 | Bathroom(s): 5,360 SQM,Unfurnished,No Data,"This property contains: Central A/C & heating, Covered Parking, Maids Room",https://olx.com.lb/ad/l08696-apartment-surrounded-with-terrace-for-sale-in-sahel-alma-cash-ID112415272.html
APARTMENT IN ANTELIAS AREA! REF#JD71569,"$98,000 ",Antelias, Metn,Bedroom(s): 3 | Bathroom(s): 2,165 SQM,No Data,No Data,"This property contains: Balcony, Central A/C & heating",https://olx.com.lb/ad/apartment-in-antelias-area-refjd71569-ID114834137.html
Hot deal in Antelias ($800/sqm)! REF#CE71567,"$200,000 ",Antelias, Metn,Bedroom(s): 4 | Bathroom(s): 4,263 SQM,No Data,No Data,"This property contains: Built in Kitchen Appliances, Central A/C & heating, Covered Parking, Maids Room, Private Jacuzzi, Walk-in Closet",https://olx.com.lb/ad/hot-deal-in-antelias-800sqm-refce71567-ID114833997.html
Looking for an apartment in a quiet area IN JBEIL? REF#RF71566,"$67,000 ",Jbeil Town, Jbeil,Bedroom(s): 2 | Bathroom(s): 2,122 SQM,No Data,No Data,"This property contains: Central A/C & heating, Private Garden, Elevator",https://olx.com.lb/ad/looking-for-an-apartment-in-a-quiet-area-in-jbeil-refrf71566-ID114833942.html
140 sqm APARTMENT IN KOURA - NAKHLE! REF#NK71547,"$90,000 ",Nakhleh, Koura,Bedroom(s): 3 | Bathroom(s): 2,140 SQM,No Data,No Data,"This property contains: Built in Kitchen Appliances, Central A/C & heating",https://olx.com.lb/ad/140-sqm-apartment-in-koura-nakhle-refnk71547-ID114829297.html
161 FULLY DECORATED APARTMENT IN BSARMA! REF#NK71535,"$62,000 ",Bsarma, Koura,Bedroom(s): 2 | Bathroom(s): 2,161 SQM,No Data,No Data,"This property contains: Built in Kitchen Appliances, Central A/C & heating, Covered Parking",https://olx.com.lb/ad/161-fully-decorated-apartment-in-bsarma-refnk71535-ID114826500.html
150sqm living area + 50sqm terrace in Broummana for sale! REF1 ED80081,"$170,000 ",Broummana, Metn,Bedroom(s): 3 | Bathroom(s): 2,165 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/150sqm-living-area-50sqm-terrace-in-broummana-for-sale-ref1-ed80081-ID114749540.html
Truly unique under market price in shayle! REF#GP71239,"$150,000 ",Sehayleh, Keserouan,Bedroom(s): 2 | Bathroom(s): 3,256 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/truly-unique-under-market-price-in-shayle-refgp71239-ID114749298.html
"121sqm apartment for sale for only 92,000$ cash!! REF#CE71054","$92,000 ",Mezher, Metn,Bedroom(s): 3 | Bathroom(s): 2,121 SQM,Unfurnished,No Data,"This property contains: Built in Kitchen Appliances, Covered Parking",https://olx.com.lb/ad/121sqm-apartment-for-sale-for-only-92000-cash-refce71054-ID114663172.html
